komentar,rating
"KENAPA PUBG, WAY. Padalah di rela2 in beli IPAD M2 tapi masih aja, pas nembak damage nya suka ngebug, pake granat kadang ngak ada damage nya, apa lagi kalau pake M416. Tolong buat pihak pengembang perbaiki bug nya.Gak perlu secepatnya, yang penting konsisten dalam membenarkan bug pada game yang kalian kembangkan.😔",3
"Saya sudah bermain game ini sudah sangat lama. Namun seiring waktu, game ini semakin lama semakin banyak bugnya, tidak seperti biasanya, bug kamera saat mengendarai kendaraan yang bisa di darat dan di air, saat saya mengubahnya ke fpp, kameranya malah ngebug, saya mempunyai bukti rekamannya jika mau. Lalu saat saya tiarap menembak target, saat saya memencet tombol untuk berdiri saja tidak bisa, setelah itu saya dieliminasi oleh musuh. Semoga game buruk ini cepat berkembang dan tidak ada masalah.",1
pantas gamenya mulai ditinggalkan... masuk pertandingan malah stuck diloading... ini poin hilang gimana cara menggantinya? game sampah lama lama .. event ga masuk ! hadiah pelit ! gacha ampas dan pelit ! kalau bisa kasig rating lagi minus sekalian ratingnya... dari dulu ga pernah ada perbaikan... ampas !!!!,1
"Mohon maaf min🙏🏻 udh lama dan akhirnya comeback PUBG tapi makin sini makin ada bug. 1, pas di in game layar seperti gerak sendiri seperti ghost touch tpi kondisi hp saya msih baik sebaru diperbaiki. Sementara pas di lobby engga dan kalo masalah di hp saya, pastinya di game lainya di in game juga seperti itu. Saya juga sudah memperbaiki kontrol, sensitivas dll tpi ttp seperti itu. Semoga bug nya bisa diperbaiki, Terimakasih🙏🏻",5
"Ini saya kasih bintang 3 karena grafisnya tidak stabil saat saya set di mulus ultra itu kadang stabil kadang frame drop, terus saat saya set ke mulus high malah frame dropnya lumayan parah tolong di fix ya. Kalau masalah yang lainnya tidak ada karena gamenya bagus pake banget, masalahnya di grafis dan di jaringan. Jaringannya GK stabil padahal sinyal hp saya bagus TPI pas main leganya parah banget. Tolong segera diperbaiki saya sampe nggak bisa ngerank seperti biasanya. Segera diperbaiki ya...",3
"Tolong perbaiki bug yang terjadi,ada banyak sekali yang mengganggu seperti waktu match start yang kebawa sampai ke game,dan step serta suara tembakan tidak terdeteksi di minimap,yang benar benar mengganggu player,semoga secepatnya diperbaiki,karna bug ini sudah lebih dari seminggu tidak diperbaiki.",1
"Makin berjalannya waktu pubg makin bagus, namun tolong buatkan setingan grafis untuk HP menengah ke bawa supaya fps nya lebih stabil, saya main cuma dapat di 40fps itupun tidak terlalu stabil, mungkin animasi gerak di dalam game terlalu banyak, seperti pakaiyannya masih gerak padahal grafik udah smood. Ok itu aja min supaya admin/developer mengerti maksud saya",4
"Server nya selalu down, kadang sementara main malah keluar sendiri padahal jaringan lumayan bagus hape juga gak kentang kentang amat. Game lain lancar ini malah keluar mulu gw main 2 pertandingan rugi besar karena baru main udah disconnect terus gak bisa masuk lagi, malah kena minus besar lagi pas login karena mati di awal bukannya kasih keringanan malah player di persulit.",1
"Update malah banyak bug, yang paling jelek dan sering bug visual dari lobby sebelum start match, tulisan startmatchnya terbawa sampe match, menutupi layar, dan juga tidak ada mark step dan tembakan di map. Yang kedua bug tombol tembakan. Dimana terkadang saat face to face dengan musuh, tombil 'fire' kita seperti di block, dan tidak berfungsi. Setelah 5 tahun bermain PUBG, bug ini baru muncul belakangan ini. Tolong diperbaiki...",1
"Setelah update terbaru kenapa banyak bug. Main squad yg lain masuk ke pertempuran, gue malah di mentalin ke lobi. Sekalinya masuk ke pertempuran malah bug mic. Udah coba relog tetep aja bug mic. Mana suka stuck di loading. Padahal sinyal aman2 aja pas di tes ping nya",1
"Terlalu banyak bug, ketika mengendarai mamooth dan tiger saat turun selalu kembali ke titik awal padahal sudah pergi ratusan meter dari titik awal. terkadang juga karakter saya tidak bisa bergerak dan mengalami glict(bagian kepalanya seperti patah dan bergerak sendiri). Saat mencoba area foto saya tidak bisa keluar dari area itu, sehingga saya harus masuk ulang agar bisa bergerak kembali🙏saya harap developmen membaca ulasan dari saya, terimakasih",2
"Update terbaru ini terjadi banyak bug, pengunduhan data juga sudah di setting pengunduhan otomatis sudah di matikan, unduhan hanya menggunakannya wifi tetap aja ke unduh secara otomatis saat masuk squad random di global.",1
"game udah keren,vitur dan event yg ada juga udah keren tapi tolong, ada 1 bug dimana saat saya mulai game, loading ke in game-nya hanya mentok ke-65%. selanjutnya akan kembali ke lobby dan ada pilihan (apakah anda ingin masuk ke pertandingan lagi), nah ketika saya klik loading screen tetap di 65%, jadi ya mau push kd agak terganggu udah cape usaha tiap macth,, eh kdnya minus lagi gara2 1 game tosoon(padahal gara2 bug tadi yg g bisa masuk ke in game). mohon diperbaiki yaaa😁😁😁😁",4
"Sejujurnya seru pubg ini, Cuman di sayang kan banyak bug setiap update season contoh aja yang belum di fix bug analog gerak sendiri sama yang terbaru ga bisa loncat sama tiba tiba terbang ke angkasa agak aneh emang tolong di perbaiki demi kenyamanan player",2
"saya sudah bermain game ini hampir 5 tahun dan pengalaman saya selama bermain itu bagus semua dari grafis, kualitas suara baik, animasi gerakan semua nya baik, pokoknya kualitas game udah baik tapi hanya ada satu kekurangan pada sistem keamanan BAN PAN 2.0 nya mohon lebih ditingkatkan, karna saya banyak menemukan player curang dan yang sering saya temui adalah kecurangan Damage, View, dan kecepatan memuat peluru.",5
"Halo Developer!saya pemain yg ingin protes karna sayaskrg saat ini mau main mode solo gk bisa main,malah bertuliskan ""sedang mencari laga"" emg selama itu ya di cari udh lima menit lohh gk masuk² mohon sekiranya dibantu perbaikannya karna masih banyak org yg ingin bermain mode solo,terima kasih🙏",2
"Halo pubg mobile,,saya main masih banyak bug apalagi di map livik ,,,dan ketika ngerush musuh malah lag jaringan padahal jaringan bagus kalau belum ketemu musuh ,,jadi tolong diperbaiki!! Terima kasih pelit skin",1
"Cacat setelah update terjadi banyak bug contoh, beberapa suara kabur/hilang/tidak sinkron, beberapa tombol control hilang walaupun sudah di aktifkan, full update resource pubgm, masih ada Iven yang gak bisa muncul walaupun sudah di riset berkali, setelah turun/mendarat dari pesawat, tiba maps hilang dan karakter nyangkut di beberapa batu dan gundukan es di iven itu aja sih keluhan untuk update pubgm sekarang 16 November 2024",4
"Game nya bagus seru untuk di main kan, cuma ada satu di saat memasuki dominator banyak bug di saat turun di Iven, seperti di dlm air dan musuhnya tidak trlihat dan setep tidak terlihat, tolong dong di prbaiki biar lebih seru dlm brmain",4
